rank,user,user_href,elo,gxe,rating
237,douad truce,/users/douadtruce,1606,84.1%,1818 ± 62
238,SHLOKs,/users/shloks,1606,75.9%,1716 ± 28
239,vgcplayertriesdou,/users/vgcplayertriesdou,1605,81.1%,1777 ± 52
240,AlouetteEnna,/users/alouetteenna,1605,90.2%,1926 ± 66
241,elfirestuffy,/users/elfirestuffy,1605,79.5%,1758 ± 51
242,Subpar Dynamite,/users/subpardynamite,1605,76.2%,1720 ± 36
243,EGAWalreins,/users/egawalreins,1605,86.4%,1851 ± 53
244,dudududu2034r2,/users/dudududu2034r2,1605,78.6%,1747 ± 52
245,svago,/users/svago,1604,77.4%,1733 ± 47
246,2IQ gaming,/users/2iqgaming,1604,82.6%,1796 ± 48
247,wig wug,/users/wigwug,1604,90.5%,1932 ± 73
248,Lailu,/users/lailu,1603,75.2%,1711 ± 47
249,Jimijmjim,/users/jimijmjim,1603,79.5%,1758 ± 50
250,VGC Genesis,/users/vgcgenesis,1603,79.6%,1759 ± 53
251,spcplayzz,/users/spcplayzz,1603,77.0%,1729 ± 49
252,hjhgfddddd,/users/hjhgfddddd,1602,81.9%,1788 ± 59
253,ljuswannaplay,/users/ljuswannaplay,1602,69.5%,1656 ± 40
254,Arcticblast,/users/arcticblast,1602,84.3%,1822 ± 63
255,the JRL,/users/thejrl,1601,76.3%,1722 ± 48
256,sleepyAtreyos,/users/sleepyatreyos,1601,77.4%,1733 ± 47
257,Milklv,/users/milklv,1601,74.9%,1708 ± 53
258,DOUAD DM,/users/douaddm,1601,80.9%,1775 ± 57
259,Troutinspace,/users/troutinspace,1601,75.5%,1713 ± 43
260,L1feisnotmoomoo,/users/l1feisnotmoomoo,1600,75.2%,1711 ± 44
261,Mango Passion,/users/mangopassion,1600,72.2%,1681 ± 33
262,utility_giraffe,/users/utilitygiraffe,1599,69.8%,1658 ± 33
263,Test Bots,/users/testbots,1599,75.7%,1715 ± 43
264,nightlanddddd,/users/nightlanddddd,1599,67.1%,1634 ± 33
265,Randomdou,/users/randomdou,1599,72.2%,1681 ± 48
266,n bjb,/users/nbjb,1598,67.3%,1637 ± 48
267,Hrishioo7,/users/hrishioo7,1598,78.0%,1739 ± 33
268,Lightx4,/users/lightx4,1598,71.7%,1677 ± 47
269,cosi94,/users/cosi94,1598,80.7%,1773 ± 66
